Data de Nascimento,Sexo,CPF,Município,Estado,Doenças Preexistentes,Alergias,Histórico de Hábitos de Vida,Diagnósticos,Data da Consulta,Exames,Medicações Prescritas,Procedimentos de Enfermagem,Data e Horário de Admissão,Data e Horário de Alta,Data e Horário de Readmissão,Índice de Satisfação,Ocupação de Leito,Ocupação da Enfermaria,Óbito
1965-06-03,M,268.709.543-56,São Luiz,RR,Câncer,Penicilina,Moderadamente ativo,Gripe,2024-07-20,Hemograma,Metformina,Monitoramento de glicose,2024-07-15,2024-07-17,2024-07-25,2,Sim,Enfermaria 2,Não
2005-02-26,F,098.267.153-95,Caroebe,RR,Diabetes,Polen,Ativo,Gripe,2024-02-04,Hemograma,Paracetamol,Coleta de sangue,2024-02-02,2024-02-07,2024-02-07,2,Sim,Enfermaria 4,Não
1950-12-16,F,497.082.615-30,São Luiz,RR,Câncer,Glúten,Ativo,Covid-19,2024-06-03,Raio-X,Salbutamol,Oxigenoterapia,2024-05-30,2024-06-03,2024-06-08,2,Não,Enfermaria 5,Sim
1959-07-25,M,254.019.638-15,Mucajaí,RR,Doença cardíaca,Nenhuma,Ativo,Infecção urinária,2024-02-20,Urocultura,Ibuprofeno,Monitoramento de glicose,2024-02-19,2024-02-21,2024-02-21,0,Sim,Enfermaria 4,Não
2006-02-27,F,258.910.437-50,Rorainópolis,RR,Doença cardíaca,Penicilina,Ativo,Bronquite,2024-07-06,Raio-X,Salbutamol,Coleta de sangue,2024-07-04,2024-07-06,2024-07-06,3,Não,Enfermaria 5,Sim
1951-06-28,F,649.710.235-34,Alto Alegre,RR,Doença cardíaca,Penicilina,Sedentário,Bronquite,2024-09-14,Eletrocardiograma,Insulina,Coleta de sangue,2024-09-09,2024-09-11,2024-09-11,5,Não,Enfermaria 4,Sim
1969-02-17,F,845.302.679-38,Cantá,RR,Doença cardíaca,Penicilina,Moderadamente ativo,Covid-19,2024-08-26,Raio-X,Metformina,Coleta de sangue,2024-08-25,2024-08-29,2024-08-29,0,Sim,Enfermaria 1,Sim
1944-02-22,F,608.315.497-93,Rorainópolis,RR,Hipertensão,Nenhuma,Ativo,Gripe,2024-09-11,Eletrocardiograma,Paracetamol,Coleta de sangue,2024-09-08,2024-09-13,2024-09-13,5,Não,Enfermaria 5,Sim
1999-07-05,F,279.340.618-03,São João da Baliza,RR,Asma,Nenhuma,Sedentário,Bronquite,2024-08-11,Raio-X,Insulina,Monitoramento de glicose,2024-08-10,2024-08-13,2024-08-13,4,Não,Enfermaria 5,Não
1972-11-06,F,045.136.827-44,Bonfim,RR,Câncer,Glúten,Moderadamente ativo,Infecção urinária,2024-02-05,Hemograma,Salbutamol,Monitoramento de glicose,2024-02-02,2024-02-06,2024-02-06,0,Não,Enfermaria 3,Sim
1986-10-25,M,487.360.529-65,Pacaraima,RR,Câncer,Lactose,Sedentário,Gripe,2024-08-25,Raio-X,Salbutamol,Monitoramento de glicose,2024-08-22,2024-08-27,2024-09-02,3,Não,Enfermaria 5,Não
2005-09-17,M,407.812.569-76,Amajari,RR,Hipertensão,Lactose,Moderadamente ativo,Alergia,2024-03-05,Tomografia,Metformina,Monitoramento de glicose,2024-02-29,2024-03-05,2024-03-05,3,Não,Enfermaria 1,Não
1971-01-22,F,217.845.390-23,Caracaraí,RR,Diabetes,Lactose,Sedentário,Bronquite,2024-03-10,Eletrocardiograma,Ibuprofeno,Coleta de sangue,2024-03-09,2024-03-10,2024-03-20,1,Sim,Enfermaria 2,Não
1973-08-18,M,031.579.248-50,Amajari,RR,Asma,Nenhuma,Sedentário,Infecção urinária,2024-03-28,Eletrocardiograma,Insulina,Monitoramento de glicose,2024-03-27,2024-03-29,2024-03-30,1,Sim,Enfermaria 2,Não
1993-08-03,M,198.425.036-15,Bonfim,RR,Câncer,Lactose,Sedentário,Alergia,2024-02-19,Raio-X,Insulina,Oxigenoterapia,2024-02-14,2024-02-18,2024-02-18,1,Não,Enfermaria 5,Não
1969-09-01,M,829.645.701-67,Pacaraima,RR,Doença cardíaca,Penicilina,Ativo,Alergia,2024-07-11,Hemograma,Metformina,Oxigenoterapia,2024-07-07,2024-07-10,2024-07-10,5,Sim,Enfermaria 4,Não
1965-02-19,M,506.729.318-77,Normandia,RR,Nenhuma,Polen,Moderadamente ativo,Gripe,2024-07-16,Urocultura,Ibuprofeno,Coleta de sangue,2024-07-12,2024-07-16,2024-07-26,0,Não,Enfermaria 2,Sim
1955-02-25,F,206.851.397-86,São Luiz,RR,Asma,Glúten,Ativo,Gripe,2024-02-13,Urocultura,Metformina,Coleta de sangue,2024-02-12,2024-02-15,2024-02-20,1,Não,Enfermaria 1,Sim
1983-10-31,M,843.172.560-53,Amajari,RR,Câncer,Glúten,Ativo,Covid-19,2024-03-11,Urocultura,Insulina,Coleta de sangue,2024-03-08,2024-03-09,2024-03-14,0,Não,Enfermaria 5,Não
1947-09-11,F,458.067.312-35,São João da Baliza,RR,Doença cardíaca,Glúten,Ativo,Bronquite,2024-04-29,Urocultura,Salbutamol,Monitoramento de glicose,2024-04-26,2024-04-28,2024-04-28,1,Sim,Enfermaria 3,Não
1963-03-04,M,135.982.470-79,São Luiz,RR,Nenhuma,Glúten,Ativo,Alergia,2024-09-16,Urocultura,Insulina,Oxigenoterapia,2024-09-14,2024-09-17,2024-09-24,4,Não,Enfermaria 3,Sim
1999-04-08,M,983.615.402-70,Rorainópolis,RR,Hipertensão,Penicilina,Ativo,Gripe,2024-04-15,Hemograma,Paracetamol,Monitoramento de glicose,2024-04-11,2024-04-15,2024-04-15,5,Sim,Enfermaria 2,Não
1986-03-13,M,362.497.108-50,Caracaraí,RR,Câncer,Polen,Ativo,Alergia,2024-09-03,Eletrocardiograma,Insulina,Monitoramento de glicose,2024-08-29,2024-09-03,2024-09-03,0,Sim,Enfermaria 4,Não
1955-03-05,F,052.379.468-10,Bonfim,RR,Nenhuma,Lactose,Moderadamente ativo,Gripe,2024-04-22,Raio-X,Paracetamol,Monitoramento de glicose,2024-04-21,2024-04-23,2024-04-26,2,Sim,Enfermaria 1,Sim
1997-06-24,M,819.725.064-20,Cantá,RR,Câncer,Nenhuma,Ativo,Gripe,2024-06-06,Tomografia,Insulina,Oxigenoterapia,2024-06-01,2024-06-06,2024-06-06,5,Sim,Enfermaria 5,Sim
1980-04-14,M,248.567.019-67,Mucajaí,RR,Doença cardíaca,Nenhuma,Ativo,Covid-19,2024-08-07,Tomografia,Ibuprofeno,Coleta de sangue,2024-08-04,2024-08-08,2024-08-11,5,Não,Enfermaria 1,Sim
1982-06-08,M,435.760.291-25,Bonfim,RR,Hipertensão,Penicilina,Moderadamente ativo,Covid-19,2024-08-15,Raio-X,Paracetamol,Coleta de sangue,2024-08-13,2024-08-17,2024-08-17,3,Não,Enfermaria 1,Sim
1998-11-09,M,290.746.381-04,Caracaraí,RR,Diabetes,Nenhuma,Sedentário,Covid-19,2024-03-12,Urocultura,Ibuprofeno,Coleta de sangue,2024-03-11,2024-03-15,2024-03-15,3,Não,Enfermaria 4,Não
1975-08-01,M,792.804.631-87,Caroebe,RR,Hipertensão,Nenhuma,Ativo,Gripe,2024-01-01,Urocultura,Metformina,Monitoramento de glicose,2023-12-27,2023-12-29,2023-12-29,4,Não,Enfermaria 3,Sim
1998-08-31,F,340.587.912-41,Alto Alegre,RR,Câncer,Nenhuma,Ativo,Bronquite,2024-05-31,Tomografia,Insulina,Oxigenoterapia,2024-05-30,2024-05-31,2024-06-03,5,Não,Enfermaria 4,Sim
1983-10-11,F,603.894.251-33,Bonfim,RR,Câncer,Nenhuma,Moderadamente ativo,Alergia,2024-07-16,Urocultura,Ibuprofeno,Coleta de sangue,2024-07-13,2024-07-18,2024-07-18,0,Sim,Enfermaria 4,Sim
1990-08-14,M,087.149.562-76,Boa Vista,RR,Nenhuma,Nenhuma,Ativo,Bronquite,2024-02-26,Urocultura,Metformina,Coleta de sangue,2024-02-25,2024-03-01,2024-03-03,3,Sim,Enfermaria 1,Sim
1963-05-17,M,671.249.358-73,São João da Baliza,RR,Nenhuma,Nenhuma,Sedentário,Alergia,2024-04-20,Eletrocardiograma,Insulina,Monitoramento de glicose,2024-04-16,2024-04-21,2024-04-21,2,Sim,Enfermaria 4,Sim
1986-07-08,M,153.892.076-02,Rorainópolis,RR,Doença cardíaca,Penicilina,Moderadamente ativo,Infecção urinária,2024-01-30,Tomografia,Salbutamol,Monitoramento de glicose,2024-01-29,2024-01-30,2024-01-30,3,Não,Enfermaria 2,Não
1960-09-28,F,986.510.742-20,Bonfim,RR,Câncer,Lactose,Ativo,Alergia,2024-08-13,Eletrocardiograma,Salbutamol,Oxigenoterapia,2024-08-12,2024-08-17,2024-08-24,4,Não,Enfermaria 3,Não
1977-05-01,F,741.538.062-26,Boa Vista,RR,Hipertensão,Lactose,Ativo,Gripe,2024-10-11,Tomografia,Ibuprofeno,Oxigenoterapia,2024-10-08,2024-10-09,2024-10-16,5,Não,Enfermaria 5,Não
1952-08-22,F,209.158.463-06,Uiramutã,RR,Doença cardíaca,Penicilina,Sedentário,Bronquite,2024-09-30,Raio-X,Insulina,Oxigenoterapia,2024-09-28,2024-09-30,2024-09-30,5,Não,Enfermaria 1,Não
1961-04-17,F,579.283.604-38,Mucajaí,RR,Nenhuma,Penicilina,Ativo,Infecção urinária,2024-06-28,Urocultura,Salbutamol,Coleta de sangue,2024-06-27,2024-07-02,2024-07-03,5,Não,Enfermaria 5,Não
1996-07-13,M,072.548.391-14,Iracema,RR,Doença cardíaca,Lactose,Moderadamente ativo,Covid-19,2024-07-22,Eletrocardiograma,Insulina,Oxigenoterapia,2024-07-20,2024-07-25,2024-08-02,1,Não,Enfermaria 4,Sim
1975-03-17,F,725.106.348-44,Boa Vista,RR,Câncer,Nenhuma,Sedentário,Bronquite,2024-01-08,Raio-X,Salbutamol,Oxigenoterapia,2024-01-06,2024-01-08,2024-01-16,1,Não,Enfermaria 4,Sim
1993-01-02,M,372.196.458-64,Uiramutã,RR,Asma,Polen,Sedentário,Covid-19,2024-07-05,Hemograma,Paracetamol,Coleta de sangue,2024-07-04,2024-07-08,2024-07-08,2,Sim,Enfermaria 5,Não
1992-07-02,F,908.536.274-10,Alto Alegre,RR,Diabetes,Penicilina,Ativo,Alergia,2024-01-14,Raio-X,Salbutamol,Oxigenoterapia,2024-01-09,2024-01-14,2024-01-14,0,Sim,Enfermaria 2,Sim
1946-12-11,M,540.237.981-50,Pacaraima,RR,Diabetes,Penicilina,Ativo,Covid-19,2024-03-11,Hemograma,Salbutamol,Monitoramento de glicose,2024-03-06,2024-03-10,2024-03-20,5,Não,Enfermaria 4,Não
1976-08-21,M,190.375.628-68,Amajari,RR,Asma,Lactose,Ativo,Infecção urinária,2024-03-23,Raio-X,Salbutamol,Oxigenoterapia,2024-03-21,2024-03-24,2024-04-03,2,Não,Enfermaria 3,Sim
1988-01-22,F,401.236.957-16,Normandia,RR,Nenhuma,Penicilina,Moderadamente ativo,Alergia,2024-02-13,Raio-X,Ibuprofeno,Coleta de sangue,2024-02-08,2024-02-10,2024-02-10,1,Não,Enfermaria 1,Não
1948-03-15,M,957.026.843-38,São João da Baliza,RR,Hipertensão,Lactose,Ativo,Alergia,2024-01-15,Hemograma,Metformina,Oxigenoterapia,2024-01-14,2024-01-18,2024-01-18,2,Não,Enfermaria 5,Sim
1974-02-21,F,156.709.438-48,Uiramutã,RR,Diabetes,Nenhuma,Ativo,Bronquite,2024-05-07,Eletrocardiograma,Metformina,Oxigenoterapia,2024-05-06,2024-05-11,2024-05-15,1,Sim,Enfermaria 3,Não
1947-10-22,F,186.590.243-89,Caracaraí,RR,Asma,Glúten,Sedentário,Alergia,2024-09-05,Urocultura,Insulina,Monitoramento de glicose,2024-09-02,2024-09-05,2024-09-05,0,Sim,Enfermaria 3,Sim
1948-06-20,M,274.089.163-69,São João da Baliza,RR,Nenhuma,Lactose,Ativo,Gripe,2024-06-15,Eletrocardiograma,Salbutamol,Oxigenoterapia,2024-06-10,2024-06-15,2024-06-25,1,Sim,Enfermaria 5,Não
1987-01-19,F,863.024.519-06,São João da Baliza,RR,Hipertensão,Polen,Moderadamente ativo,Covid-19,2024-05-28,Raio-X,Ibuprofeno,Monitoramento de glicose,2024-05-26,2024-05-28,2024-06-05,3,Sim,Enfermaria 2,Não
1989-03-07,F,674.823.015-26,São João da Baliza,RR,Hipertensão,Polen,Moderadamente ativo,Covid-19,2024-08-15,Hemograma,Insulina,Oxigenoterapia,2024-08-13,2024-08-15,2024-08-15,0,Sim,Enfermaria 2,Sim
2002-12-16,F,785.634.102-53,Mucajaí,RR,Hipertensão,Lactose,Ativo,Alergia,2024-08-02,Raio-X,Ibuprofeno,Monitoramento de glicose,2024-07-29,2024-08-01,2024-08-02,2,Não,Enfermaria 5,Sim
1974-11-02,F,069.475.318-10,Alto Alegre,RR,Nenhuma,Polen,Moderadamente ativo,Alergia,2024-09-09,Urocultura,Ibuprofeno,Oxigenoterapia,2024-09-04,2024-09-08,2024-09-13,3,Sim,Enfermaria 2,Sim
1954-06-25,M,307.495.128-14,Boa Vista,RR,Câncer,Polen,Moderadamente ativo,Bronquite,2024-05-15,Tomografia,Metformina,Coleta de sangue,2024-05-12,2024-05-13,2024-05-17,5,Sim,Enfermaria 4,Sim
1954-08-31,M,690.183.475-66,Bonfim,RR,Hipertensão,Lactose,Moderadamente ativo,Alergia,2024-08-21,Raio-X,Salbutamol,Oxigenoterapia,2024-08-17,2024-08-18,2024-08-18,3,Sim,Enfermaria 2,Não
1948-03-28,F,875.069.421-94,Normandia,RR,Diabetes,Polen,Ativo,Infecção urinária,2024-06-17,Eletrocardiograma,Paracetamol,Coleta de sangue,2024-06-13,2024-06-16,2024-06-25,1,Sim,Enfermaria 1,Não
2001-04-08,M,392.175.408-97,Cantá,RR,Nenhuma,Penicilina,Sedentário,Covid-19,2024-02-17,Urocultura,Metformina,Oxigenoterapia,2024-02-16,2024-02-17,2024-02-17,0,Sim,Enfermaria 4,Não
1985-01-23,F,670.539.814-01,São João da Baliza,RR,Hipertensão,Penicilina,Sedentário,Covid-19,2024-08-15,Eletrocardiograma,Metformina,Monitoramento de glicose,2024-08-14,2024-08-15,2024-08-24,1,Não,Enfermaria 2,Sim
1988-06-22,M,192.805.376-95,Caracaraí,RR,Diabetes,Nenhuma,Moderadamente ativo,Covid-19,2024-07-26,Raio-X,Insulina,Oxigenoterapia,2024-07-22,2024-07-27,2024-07-27,3,Sim,Enfermaria 1,Sim
1995-02-12,F,514.023.789-04,Mucajaí,RR,Nenhuma,Nenhuma,Sedentário,Alergia,2024-08-05,Tomografia,Paracetamol,Coleta de sangue,2024-08-04,2024-08-05,2024-08-06,0,Sim,Enfermaria 3,Não
1946-10-24,F,726.085.314-07,Cantá,RR,Nenhuma,Nenhuma,Moderadamente ativo,Gripe,2024-07-23,Tomografia,Salbutamol,Oxigenoterapia,2024-07-19,2024-07-22,2024-07-25,2,Não,Enfermaria 5,Sim
1953-01-31,M,705.938.216-02,Amajari,RR,Nenhuma,Glúten,Ativo,Alergia,2024-04-04,Urocultura,Salbutamol,Oxigenoterapia,2024-04-02,2024-04-03,2024-04-03,2,Não,Enfermaria 2,Não
1997-07-25,M,276.983.541-64,Amajari,RR,Asma,Polen,Sedentário,Alergia,2024-05-30,Tomografia,Ibuprofeno,Oxigenoterapia,2024-05-28,2024-05-30,2024-05-30,1,Não,Enfermaria 5,Sim
1993-07-08,F,215.438.097-23,Amajari,RR,Asma,Polen,Sedentário,Gripe,2024-04-29,Hemograma,Insulina,Coleta de sangue,2024-04-25,2024-04-30,2024-05-05,2,Sim,Enfermaria 3,Não
1992-01-25,M,342.951.086-42,Cantá,RR,Câncer,Glúten,Ativo,Infecção urinária,2024-01-08,Urocultura,Salbutamol,Oxigenoterapia,2024-01-04,2024-01-08,2024-01-16,0,Sim,Enfermaria 3,Não
1965-11-04,M,954.213.687-00,Boa Vista,RR,Hipertensão,Polen,Ativo,Alergia,2024-08-23,Hemograma,Paracetamol,Monitoramento de glicose,2024-08-21,2024-08-26,2024-09-03,1,Não,Enfermaria 3,Não
1951-02-03,M,451.932.860-89,Mucajaí,RR,Hipertensão,Penicilina,Ativo,Bronquite,2024-04-11,Eletrocardiograma,Ibuprofeno,Oxigenoterapia,2024-04-07,2024-04-11,2024-04-11,5,Não,Enfermaria 3,Sim
1949-10-26,M,273.546.891-73,Boa Vista,RR,Asma,Penicilina,Ativo,Covid-19,2024-05-09,Urocultura,Paracetamol,Oxigenoterapia,2024-05-05,2024-05-06,2024-05-06,0,Não,Enfermaria 3,Não
1956-09-23,F,018.743.526-07,Pacaraima,RR,Câncer,Lactose,Moderadamente ativo,Covid-19,2024-04-10,Raio-X,Ibuprofeno,Monitoramento de glicose,2024-04-07,2024-04-08,2024-04-08,5,Sim,Enfermaria 1,Não
1980-02-08,M,579.308.146-10,Mucajaí,RR,Câncer,Glúten,Moderadamente ativo,Infecção urinária,2024-01-10,Raio-X,Ibuprofeno,Oxigenoterapia,2024-01-05,2024-01-07,2024-01-07,1,Sim,Enfermaria 3,Sim
1962-11-09,F,936.458.721-91,Bonfim,RR,Nenhuma,Lactose,Ativo,Infecção urinária,2024-08-31,Hemograma,Ibuprofeno,Oxigenoterapia,2024-08-27,2024-08-30,2024-08-30,2,Sim,Enfermaria 5,Não
1953-08-29,F,604.982.371-50,Pacaraima,RR,Doença cardíaca,Glúten,Sedentário,Infecção urinária,2024-06-08,Eletrocardiograma,Metformina,Coleta de sangue,2024-06-04,2024-06-06,2024-06-13,1,Sim,Enfermaria 4,Sim
1965-08-03,F,106.258.439-24,Rorainópolis,RR,Câncer,Penicilina,Moderadamente ativo,Bronquite,2024-04-19,Tomografia,Insulina,Monitoramento de glicose,2024-04-18,2024-04-23,2024-04-23,1,Não,Enfermaria 5,Sim
1989-06-29,F,816.579.024-20,São Luiz,RR,Doença cardíaca,Nenhuma,Sedentário,Gripe,2024-04-25,Urocultura,Metformina,Coleta de sangue,2024-04-20,2024-04-22,2024-04-22,2,Não,Enfermaria 2,Sim
1945-10-07,M,138.794.625-00,Caracaraí,RR,Nenhuma,Glúten,Sedentário,Bronquite,2024-05-16,Tomografia,Metformina,Coleta de sangue,2024-05-12,2024-05-15,2024-05-15,3,Sim,Enfermaria 2,Não
1981-04-04,M,186.345.729-19,São João da Baliza,RR,Doença cardíaca,Nenhuma,Moderadamente ativo,Gripe,2024-06-01,Raio-X,Insulina,Coleta de sangue,2024-05-29,2024-05-31,2024-05-31,4,Não,Enfermaria 1,Sim
1994-03-07,M,036.781.924-40,Caroebe,RR,Hipertensão,Glúten,Moderadamente ativo,Covid-19,2024-01-04,Raio-X,Insulina,Monitoramento de glicose,2024-01-02,2024-01-05,2024-01-12,0,Sim,Enfermaria 2,Sim
1953-10-26,F,459.082.637-29,São Luiz,RR,Câncer,Nenhuma,Sedentário,Bronquite,2024-05-01,Raio-X,Metformina,Monitoramento de glicose,2024-04-26,2024-04-29,2024-04-30,3,Sim,Enfermaria 3,Não
1945-12-09,M,326.705.814-71,Rorainópolis,RR,Doença cardíaca,Nenhuma,Moderadamente ativo,Infecção urinária,2024-04-11,Raio-X,Salbutamol,Coleta de sangue,2024-04-10,2024-04-14,2024-04-14,4,Sim,Enfermaria 4,Não
2006-06-22,M,683.721.459-46,Uiramutã,RR,Doença cardíaca,Lactose,Sedentário,Covid-19,2024-08-12,Raio-X,Metformina,Monitoramento de glicose,2024-08-09,2024-08-13,2024-08-17,1,Não,Enfermaria 2,Não
1945-10-28,F,701.695.324-61,São Luiz,RR,Nenhuma,Lactose,Ativo,Infecção urinária,2024-09-19,Raio-X,Paracetamol,Monitoramento de glicose,2024-09-14,2024-09-17,2024-09-18,1,Não,Enfermaria 5,Não
1972-07-28,M,918.046.275-85,Alto Alegre,RR,Câncer,Polen,Ativo,Alergia,2024-02-08,Hemograma,Insulina,Monitoramento de glicose,2024-02-04,2024-02-08,2024-02-08,4,Sim,Enfermaria 4,Não
1992-07-12,M,362.478.051-44,Cantá,RR,Hipertensão,Lactose,Sedentário,Infecção urinária,2024-05-04,Tomografia,Ibuprofeno,Oxigenoterapia,2024-04-29,2024-04-30,2024-05-03,4,Não,Enfermaria 5,Não
2002-01-30,M,276.834.951-82,Iracema,RR,Asma,Glúten,Sedentário,Covid-19,2024-08-15,Urocultura,Salbutamol,Oxigenoterapia,2024-08-13,2024-08-15,2024-08-24,3,Não,Enfermaria 5,Não
1952-03-22,F,730.168.542-44,São João da Baliza,RR,Diabetes,Nenhuma,Ativo,Alergia,2024-02-21,Tomografia,Paracetamol,Coleta de sangue,2024-02-19,2024-02-21,2024-02-27,2,Não,Enfermaria 5,Não
1944-10-23,M,813.529.047-05,São Luiz,RR,Hipertensão,Glúten,Ativo,Infecção urinária,2024-09-14,Hemograma,Paracetamol,Oxigenoterapia,2024-09-10,2024-09-12,2024-09-12,0,Sim,Enfermaria 5,Não
1990-03-08,F,836.059.142-33,Iracema,RR,Câncer,Polen,Moderadamente ativo,Infecção urinária,2024-05-27,Hemograma,Paracetamol,Coleta de sangue,2024-05-24,2024-05-26,2024-05-26,0,Sim,Enfermaria 5,Não
